,id,xcenter,ycenter,Bflux,Bfluxerr,Vflux,Vfluxerr,Rflux,Rfluxerr,Bflux_1sec,Vflux_1sec,Rflux_1sec,Bflux_1sec_err,Vflux_1sec_err,Rflux_1sec_err,Binst,Vinst,Rinst,Binst_err,Vinst_err,Rinst_err,Bmag,Bmag_err,Vmag,Vmag_err,Rmag,Rmag_err,B-V,B-V_err,V-R,V-R_err
0,1,2096.89804252163,48.102927965626314,4885.69715356849,111.45108109053676,14420.751378422452,138.05647077668834,-118.6494795466657,76.82040942899118,488.569715356849,1442.075137842245,-11.86494795466657,11.145108109053677,13.805647077668834,7.6820409428991185,-6.722316357877649,-7.89746972360091,,0.0247506996816022,0.010387202917653599,-0.702490601298198,13.501716800478523,0.025360992864545327,11.491353688445454,0.011771266899430012,,0.7025035861173364,2.010363112033069,0.027959661719933873,,0.7026021998486309
1,2,1906.4604220481947,79.8399730419508,342.9746914817997,82.81238234541604,1491.9734298891399,93.06684061111814,2111.3249035961994,101.78563252396326,34.29746914817997,149.197342988914,211.13249035961994,8.281238234541604,9.306684061111813,10.178563252396327,-3.8381551852722176,-5.434402722460795,-5.811387675857325,0.26197686615469834,0.0676805096124039,0.05230716082607331,16.385877973083954,0.26203522897615006,13.954420689585568,0.0679067015938766,14.928233005555278,0.05248126017064506,2.4314572834983856,0.2706913026787953,-0.9738123159697096,0.08582309007754696
2,3,3078.350569973919,91.93644217423413,185.22522837854785,84.54265387881797,1606.736335217664,96.08073139560666,887.1051723524506,104.18123429664844,18.522522837854787,160.6736335217664,88.71051723524506,8.454265387881797,9.608073139560666,10.418123429664844,-3.169250347325309,-5.514861537653697,-4.8699377786227895,0.495228324248843,0.06488158092852916,0.1274219142608647,17.05478281103086,0.49525920078547137,13.873961874392666,0.06511749598802448,15.869682902789814,0.1274934815169677,3.180820936638195,0.49952173550949136,-1.9957210283971474,0.143160316125202
3,4,1839.5166301840723,97.74108232939085,1349.2478664677114,92.68566333599279,4810.918032512036,106.1487307180927,4345.35160351179,113.14437304174734,134.92478664677114,481.0918032512036,434.535160351179,9.268566333599278,10.614873071809269,11.314437304174735,-5.325229349996672,-6.705569893851208,-6.59506230770797,0.07453333610437748,0.023939583266812274,0.028251256964127686,14.8988038083595,0.07473821656418325,12.683253518195155,0.024571780296790535,14.144558373704633,0.02857231379268067,2.2155502901643445,0.07867384191806384,-1.4613048555094785,0.037684871001784706
4,5,3032.204856270115,114.08017072925954,315.6554838856673,86.18712083556423,1541.1562511115003,94.68007922669699,1041.442132827457,100.09505828983858,31.565548388566732,154.11562511115002,104.14421328274571,8.618712083556423,9.468007922669699,10.009505828983858,-3.7480333468275,-5.469616680435626,-5.044087859036556,0.296250281970258,0.06665637302309721,0.10428149084925478,16.47599981152867,0.29630189400644075,13.919206731610737,0.0668860284705213,15.695532822376048,0.1043689270288693,2.5567930799179326,0.30375739200283414,-1.776326090765311,0.12396214637427358
5,6,3650.353033602701,122.38688635113341,123.96891374038069,84.71358388912702,2277.6522827162794,97.00998087408573,971.3544969198929,107.17295447072976,12.396891374038068,227.76522827162793,97.1354496919893,8.471358388912702,9.700998087408573,10.717295447072976,-2.733281989446551,-5.8937185583303995,-4.968444387745102,0.7414297322326491,0.04621242234695156,0.11971186211570249,17.49075116890962,0.7414503561688566,13.495104853715965,0.046543063061407264,15.771176293667502,0.1197880358242141,3.995646315193653,0.7429097437657298,-2.2760714399515365,0.1285123739013537
6,7,1895.6063418882613,156.73521751946225,912.2745283077934,91.05437788091105,3196.1561405184025,100.5272668815307,2584.9593901306803,104.13577630705021,91.22745283077934,319.6156140518402,258.49593901306804,9.105437788091105,10.052726688153069,10.41357763070502,-4.900313872652736,-6.261569968930561,-6.031134311727039,0.10829415590945478,0.03412601880857103,0.043709513474189436,15.323719285703435,0.10843526653486843,13.127253443115801,0.03457244422496114,14.708486369685565,0.043917708997220986,2.1964658425876333,0.1138132721969455,-1.581232926569763,0.05589292498387103
7,8,1208.3678138105327,166.47714874766373,1544.8634100935424,93.75118158653652,4632.599673820627,105.71675172012725,4471.865195970207,112.16446898137453,154.48634100935425,463.25996738206265,447.1865195970207,9.375118158653653,10.571675172012725,11.216446898137452,-5.472225217711202,-6.664561930649006,-6.626221758255465,0.06584402954772092,0.024759893729763994,0.02721424808477213,14.75180794064497,0.0660758583101862,12.724261481397358,0.025371658942101354,14.113398923157138,0.02754739360146002,2.0275464592476116,0.07077951772159877,-1.3891374417597806,0.037451034320937944
8,9,555.3878241631965,185.5289286737783,1056.9139055090568,91.48387231166066,3696.9232482060906,102.96607596306141,3292.096723540634,109.42016344732981,105.69139055090568,369.6923248206091,329.2096723540634,9.148387231166065,10.296607596306142,10.94201634473298,-5.060099029561904,-6.419601085706111,-6.293681466322387,0.09391493568281115,0.030219235001465665,0.036062390418671875,15.163934128794267,0.09407761672498519,12.969222326340253,0.03072248206182099,14.445939215090217,0.036314454396602934,2.194711802454014,0.09896700901154953,-1.476716888749964,0.0475669055348555
9,10,1328.1872692452894,221.63847758298462,891.5853879984597,90.96167835754633,2450.9378621125993,97.58062074003958,2078.2702564336537,101.04577942488882,89.15853879984597,245.09378621125992,207.82702564336537,9.096167835754633,9.758062074003957,10.104577942488882,-4.875407355768708,-5.973330752137031,-5.794255055413461,0.11069430067656992,0.043197738767511394,0.052752845948023756,15.348625802587463,0.11083235550425483,13.415492659909333,0.04355127293881617,14.945365625999141,0.052925479223434185,1.9331331426781304,0.11908200704225969,-1.5298729660898083,0.06854064287429339
